,errors,samples_type
868,1.0,train
869,1.0,train
870,1.0,train
871,1.0,train
872,1.0,train
873,1.0,train
874,1.0,train
875,1.0,train
876,1.0,train
877,1.0,train
878,1.0,train
879,1.0,train
880,1.0,train
881,1.0,train
882,1.0,train
883,1.0,train
884,1.0,train
885,1.0,train
886,1.0,train
887,1.0,train
888,1.0,train
889,1.0,train
890,1.0,train
891,1.0,train
892,1.0,train
893,1.0,train
894,1.0,train
895,1.0,train
896,1.0,train
897,1.0,train
898,1.0,train
899,1.0,train
900,1.0,train
901,1.0,train
902,1.0,train
903,1.0,train
904,1.0,train
905,1.0,train
906,1.0,train
907,1.0,train
908,1.0,train
909,1.0,train
910,1.0,train
911,1.0,train
912,1.0,train
913,1.0,train
914,1.0,train
915,1.0,train
916,1.0,train
917,1.0,train
918,1.0,train
919,1.0,train
920,1.0,train
921,1.0,train
922,1.0,train
923,1.0,train
924,1.0,train
925,1.0,train
926,1.0,train
927,1.0,train
928,1.0,train
929,1.0,train
930,1.0,train
931,1.0,train
932,1.0,train
933,1.0,train
934,1.0,train
935,1.0,train
936,1.0,train
937,1.0,train
938,1.0,train
939,1.0,train
940,1.0,train
941,1.0,train
942,1.0,train
943,1.0,train
944,1.0,train
945,1.0,train
946,1.0,train
947,1.0,train
948,1.0,train
949,1.0,train
950,1.0,train
951,1.0,train
952,1.0,train
953,1.0,train
954,1.0,train
955,1.0,train
956,1.0,train
957,1.0,train
958,1.0,train
959,1.0,train
960,1.0,train
961,1.0,train
962,1.0,train
963,1.0,train
964,1.0,train
965,1.0,train
966,1.0,train
967,1.0,train
968,1.0,train
969,1.0,train
970,1.0,train
971,1.0,train
972,1.0,train
973,1.0,train
974,1.0,train
975,1.0,train
976,1.0,train
977,1.0,train
978,1.0,train
979,1.0,train
980,1.0,train
981,1.0,train
982,1.0,train
983,1.0,train
984,1.0,train
985,1.0,train
986,1.0,train
987,1.0,train
988,1.0,train
989,1.0,train
990,1.0,train
991,1.0,train
992,1.0,train
993,1.0,train
994,1.0,train
995,1.0,train
996,1.0,train
997,1.0,train
998,1.0,train
999,1.0,train
1000,1.0,train
1001,1.0,train
1002,1.0,train
1003,1.0,train
1004,1.0,train
1005,1.0,train
1006,1.0,train
1007,1.0,train
1008,1.0,train
1009,1.0,train
1010,1.0,train
1011,1.0,train
1012,1.0,train
1013,1.0,train
1014,1.0,train
1015,1.0,train
1016,1.0,train
1017,1.0,train
1018,1.0,train
1019,1.0,train
1020,1.0,train
1021,1.0,train
1022,1.0,train
1023,1.0,train
1024,1.0,train
1025,1.0,train
1026,1.0,train
1027,1.0,train
1028,1.0,train
1029,1.0,train
1030,1.0,train
1031,1.0,train
1032,1.0,train
1033,1.0,train
1034,1.0,train
1035,1.0,train
1036,1.0,train
1037,1.0,train
1038,1.0,train
1039,1.0,train
1040,1.0,train
1041,1.0,train
1042,1.0,train
1043,1.0,train
1044,1.0,train
1045,1.0,train
1046,1.0,train
1047,1.0,train
1048,1.0,train
1049,1.0,train
1050,1.0,train
1051,1.0,train
1052,1.0,train
1053,1.0,train
1054,1.0,train
1055,1.0,train
1056,1.0,train
1057,1.0,train
1058,1.0,train
1059,1.0,train
1060,1.0,train
1061,1.0,train
1062,1.0,train
1063,1.0,train
1064,1.0,train
1065,1.0,train
1066,1.0,train
1067,1.0,train
1068,1.0,train
1069,1.0,train
