qname,join_order,exec_sql,cost
70.pkl,Leading((mk (ci (mi (t mi_idx))))),/*+ Rows(t #1381453) Rows(mi #1533909) Rows(mi_idx #459925) Rows(ci #36244344) Rows(mk #4523930) Rows(mi t #815187) Rows(mi_idx t #221314) Rows(ci t #21334720) Rows(mk t #1970380) Rows(mi mi_idx t #257633) Rows(ci mi t #14392622) Rows(mi mk t #3564358) Rows(ci mi_idx t #7097988) Rows(mi_idx mk t #1402930) Rows(ci mk t #114182642) Rows(ci mi mi_idx t #8005670) Rows(mi mi_idx mk t #2912311) Rows(ci mi mk t #268238061) Rows(ci mi_idx mk t #104984070) Rows(ci mi mi_idx mk t #258385218)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (cast_info as ci CROSS JOIN (movie_info as mi CROSS JOIN (title as t CROSS JOIN movie_info_idx as mi_idx))) WHERE  mi.info_type_id=3 AND  mi_idx.info_type_id=100 AND  t.production_year>2000 AND t.id = ci.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,2692750.96
37.pkl,Leading((mi (mc (mi_idx t)))),/*+ Rows(t #662825) Rows(mi #3036719) Rows(mc #1334883) Rows(mi_idx #459925) Rows(mi t #1083597) Rows(mc t #640620) Rows(mi_idx t #209880) Rows(mc mi t #2250196) Rows(mi mi_idx t #724731) Rows(mc mi_idx t #302610) Rows(mc mi mi_idx t #1919495)  */ explain (format json) SELECT COUNT(*) FROM movie_info as mi CROSS JOIN (movie_companies as mc CROSS JOIN (movie_info_idx as mi_idx CROSS JOIN title as t)) WHERE  mc.company_type_id=2 AND  mi.info_type_id=16 AND  mi_idx.info_type_id=101 AND  t.kind_id=1 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id,562340.66
64.pkl,Leading((mk ((mi_idx t) ci))),/*+ Rows(t #216282) Rows(mk #4523930) Rows(ci #36244344) Rows(mi_idx #459925) Rows(mk t #682355) Rows(ci t #3785589) Rows(mi_idx t #58024) Rows(ci mk t #53765709) Rows(mi_idx mk t #547364) Rows(ci mi_idx t #1839592) Rows(ci mi_idx mk t #51282842)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN ((movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN cast_info as ci) WHERE  mi_idx.info_type_id=101 AND  t.kind_id=1 AND  t.production_year>2005 AND t.id = ci.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,722903.39
33.pkl,Leading((mk (mc t))),/*+ Rows(t #2287271) Rows(mk #4523930) Rows(mc #2609129) Rows(mk t #3961736) Rows(mc t #2229308) Rows(mc mk t #31339132)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (movie_companies as mc CROSS JOIN title as t) WHERE  t.production_year>1950 AND t.id = mc.movie_id AND t.id = mk.movie_id,507207.05
21.pkl,Leading((ci t)),/*+ Rows(t #44715) Rows(ci #36244344) Rows(ci t #695701)  */ explain (format json) SELECT COUNT(*) FROM cast_info as ci CROSS JOIN title as t WHERE  t.production_year<1984 AND  t.production_year>1980 AND t.id = ci.movie_id,833463.68
51.pkl,Leading((mk (ci t))),/*+ Rows(t #492483) Rows(mk #4523930) Rows(ci #36244344) Rows(mk t #2343162) Rows(ci t #8852321) Rows(ci mk t #151179813)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (cast_info as ci CROSS JOIN title as t) WHERE  t.kind_id=1 AND  t.production_year>1950 AND t.id = ci.movie_id AND t.id = mk.movie_id,1981526.21
11.pkl,Leading((mk (t mi_idx))),/*+ Rows(t #1749032) Rows(mi_idx #459925) Rows(mk #4523930) Rows(mi_idx t #303486) Rows(mk t #2742670) Rows(mi_idx mk t #2031666)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (title as t CROSS JOIN movie_info_idx as mi_idx) WHERE  mi_idx.info_type_id=101 AND  t.production_year>1990 AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,265999.87
57.pkl,Leading((mk (((mi_idx t) mi) mc))),/*+ Rows(t #533369) Rows(mi #1325361) Rows(mk #4523930) Rows(mi_idx #459925) Rows(mc #2609129) Rows(mi t #233592) Rows(mk t #475878) Rows(mi_idx t #64063) Rows(mc t #409251) Rows(mi mk t #488089) Rows(mi mi_idx t #53013) Rows(mc mi t #374517) Rows(mi_idx mk t #305628) Rows(mc mk t #3655294) Rows(mc mi_idx t #183850) Rows(mi mi_idx mk t #346794) Rows(mc mi mk t #5280948) Rows(mc mi mi_idx t #208040) Rows(mc mi_idx mk t #3432100) Rows(mc mi mi_idx mk t #5060606)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (((movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN movie_info as mi) CROSS JOIN movie_companies as mc) WHERE  mi.info_type_id=8 AND  mi_idx.info_type_id=101 AND  t.production_year>2009 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,464711.68
24.pkl,Leading((ci (mc t))),/*+ Rows(t #2528312) Rows(ci #2728943) Rows(mc #2609129) Rows(ci t #2728943) Rows(mc t #2609129) Rows(ci mc t #4450853)  */ explain (format json) SELECT COUNT(*) FROM cast_info as ci CROSS JOIN (movie_companies as mc CROSS JOIN title as t) WHERE  ci.role_id=4 AND t.id = ci.movie_id AND t.id = mc.movie_id,446818.72
32.pkl,Leading(((mk t) mc)),/*+ Rows(t #2528312) Rows(mk #10544) Rows(mc #1334883) Rows(mk t #10544) Rows(mc t #1334883) Rows(mc mk t #14102)  */ explain (format json) SELECT COUNT(*) FROM (movie_keyword as mk CROSS JOIN title as t) CROSS JOIN movie_companies as mc WHERE  mc.company_type_id=2 AND  mk.keyword_id=398 AND t.id = mc.movie_id AND t.id = mk.movie_id,93144.69
