qname,join_order,exec_sql,cost
14.pkl,Leading((mi (mc t))),/*+ Rows(t #725186) Rows(mi #6181550) Rows(mc #555201) Rows(mi t #4255277) Rows(mc t #382191) Rows(mc mi t #11560785)  */ explain (format json) SELECT COUNT(*) FROM movie_info as mi CROSS JOIN (movie_companies as mc CROSS JOIN title as t) WHERE  mc.company_type_id=2 AND  t.production_year>1990 AND t.id = mc.movie_id AND t.id = mi.movie_id,753562.35
29.pkl,Leading(((mc t) ci)),/*+ Rows(t #163690) Rows(mc #1087137) Rows(ci #5212138) Rows(mc t #168923) Rows(ci t #809879) Rows(ci mc t #2135347)  */ explain (format json) SELECT COUNT(*) FROM (movie_companies as mc CROSS JOIN title as t) CROSS JOIN cast_info as ci WHERE  ci.role_id=1 AND  t.production_year>2010 AND t.id = ci.movie_id AND t.id = mc.movie_id,753302.42
54.pkl,Leading((((mk t) mc) mi)),/*+ Rows(t #353285) Rows(mk #11008) Rows(mc #555201) Rows(mi #6181550) Rows(mk t #1538) Rows(mc t #186190) Rows(mi t #2073023) Rows(mc mk t #4179) Rows(mi mk t #63728) Rows(mc mi t #5632014) Rows(mc mi mk t #126407)  */ explain (format json) SELECT COUNT(*) FROM ((movie_keyword as mk CROSS JOIN title as t) CROSS JOIN movie_companies as mc) CROSS JOIN movie_info as mi WHERE  mc.company_type_id=2 AND  mk.keyword_id=398 AND  t.production_year<2010 AND  t.production_year>2000 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mk.movie_id,97199.37
4.pkl,Leading(((mi_idx t) mc)),/*+ Rows(t #575260) Rows(mc #555201) Rows(mi_idx #184) Rows(mc t #303177) Rows(mi_idx t #100) Rows(mc mi_idx t #273)  */ explain (format json) SELECT COUNT(*) FROM (movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN movie_companies as mc WHERE  mc.company_type_id=2 AND  mi_idx.info_type_id=113 AND  t.production_year>2000 AND t.id = mc.movie_id AND t.id = mi_idx.movie_id,1391.23
23.pkl,Leading((ci (mc t))),/*+ Rows(t #1053462) Rows(ci #3215175) Rows(mc #1087137) Rows(ci t #3215175) Rows(mc t #1087137) Rows(ci mc t #8477208)  */ explain (format json) SELECT COUNT(*) FROM cast_info as ci CROSS JOIN (movie_companies as mc CROSS JOIN title as t) WHERE  ci.role_id=2 AND t.id = ci.movie_id AND t.id = mc.movie_id,755675.03
3.pkl,Leading(((mi_idx t) mc)),/*+ Rows(t #163690) Rows(mc #555201) Rows(mi_idx #184) Rows(mc t #86269) Rows(mi_idx t #29) Rows(mc mi_idx t #78)  */ explain (format json) SELECT COUNT(*) FROM (movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN movie_companies as mc WHERE  mc.company_type_id=2 AND  mi_idx.info_type_id=112 AND  t.production_year>2010 AND t.id = mc.movie_id AND t.id = mi_idx.movie_id,1397.39
37.pkl,Leading((mc ((mi_idx t) mi))),/*+ Rows(t #279132) Rows(mi #1281848) Rows(mc #555201) Rows(mi_idx #192534) Rows(mi t #339647) Rows(mc t #147110) Rows(mi_idx t #51015) Rows(mc mi t #922757) Rows(mi mi_idx t #331438) Rows(mc mi_idx t #138599) Rows(mc mi mi_idx t #869370)  */ explain (format json) SELECT COUNT(*) FROM movie_companies as mc CROSS JOIN ((movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN movie_info as mi) WHERE  mc.company_type_id=2 AND  mi.info_type_id=16 AND  mi_idx.info_type_id=101 AND  t.kind_id=1 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id,721074.16
63.pkl,Leading((mk ((mi_idx t) ci))),/*+ Rows(t #152425) Rows(mk #1884971) Rows(ci #15101810) Rows(mi_idx #192534) Rows(mk t #272736) Rows(ci t #2185075) Rows(mi_idx t #27858) Rows(ci mk t #9989293) Rows(mi_idx mk t #266144) Rows(ci mi_idx t #1020324) Rows(ci mi_idx mk t #4664514)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN ((movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN cast_info as ci) WHERE  mi_idx.info_type_id=101 AND  t.kind_id=1 AND  t.production_year>2000 AND t.id = ci.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,969425.36
57.pkl,Leading((mk (((mi_idx t) mi) mc))),/*+ Rows(t #221394) Rows(mi #533262) Rows(mk #1884971) Rows(mi_idx #192534) Rows(mc #1087137) Rows(mi t #112069) Rows(mk t #396142) Rows(mi_idx t #40462) Rows(mc t #228471) Rows(mi mk t #1415852) Rows(mi mi_idx t #109361) Rows(mc mi t #596184) Rows(mi_idx mk t #386568) Rows(mc mk t #2107390) Rows(mc mi_idx t #215252) Rows(mi mi_idx mk t #1381632) Rows(mc mi mk t #5499138) Rows(mc mi mi_idx t #561691) Rows(mc mi_idx mk t #1985464) Rows(mc mi mi_idx mk t #5180979)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (((movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN movie_info as mi) CROSS JOIN movie_companies as mc) WHERE  mi.info_type_id=8 AND  mi_idx.info_type_id=101 AND  t.production_year>2009 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,464711.68
2.pkl,Leading(((mi_idx t) mc)),/*+ Rows(t #196908) Rows(mc #555201) Rows(mi_idx #184) Rows(mc t #103775) Rows(mi_idx t #34) Rows(mc mi_idx t #93)  */ explain (format json) SELECT COUNT(*) FROM (movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN movie_companies as mc WHERE  mc.company_type_id=2 AND  mi_idx.info_type_id=113 AND  t.production_year<2010 AND  t.production_year>2005 AND t.id = mc.movie_id AND t.id = mi_idx.movie_id,1390.01
